fecha_proceso,linea,curso,modulo,url,estado,nombre_bloque
2026-03-26 21:00:56,Salud,HOLOBIOMAGNETISMO 2021,1,https://video.wixstatic.com/video/4ea8bc_5ea0e1207bc2496cb6035d47074bd29e/720p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_1
2026-03-26 21:05:43,Salud,HOLOBIOMAGNETISMO 2021,2,https://video.wixstatic.com/video/b5f93e_8bb633edf97a41e98d5c9df8cabff2fe/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_2
2026-03-26 21:09:42,Salud,HOLOBIOMAGNETISMO 2021,3,https://video.wixstatic.com/video/b5f93e_33e29b4086dd41819606602f47f8b442/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_3
2026-03-26 21:14:17,Salud,HOLOBIOMAGNETISMO 2021,4,https://video.wixstatic.com/video/b5f93e_66150d8756e5499d85985422ba0b4192/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_4
2026-03-26 21:19:06,Salud,HOLOBIOMAGNETISMO 2021,5,https://video.wixstatic.com/video/b5f93e_1320f8e857604377a99e5dfa91707453/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_5
2026-03-26 21:24:08,Salud,HOLOBIOMAGNETISMO 2021,6,https://video.wixstatic.com/video/b5f93e_3bde4a4be535495ca90aa7c9fac939d0/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_6
2026-03-26 21:28:56,Salud,HOLOBIOMAGNETISMO 2021,7,https://video.wixstatic.com/video/b5f93e_e40c477a636b431c9105c14c7bc6519c/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_7
2026-03-26 21:34:49,Salud,HOLOBIOMAGNETISMO 2021,8,https://video.wixstatic.com/video/b5f93e_a72109acbaed4393a3830071ab461f96/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_8
2026-03-26 21:40:02,Salud,HOLOBIOMAGNETISMO 2021,9,https://video.wixstatic.com/video/b5f93e_bbbae1f64811448fa0849a89566d7bb2/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_9
2026-03-26 21:47:13,Salud,HOLOBIOMAGNETISMO 2021,10,https://video.wixstatic.com/video/b5f93e_fc4fafd9a4fb4f27afb3f51cebfb2f08/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_10
2026-03-26 21:54:08,Salud,HOLOBIOMAGNETISMO 2021,11,https://video.wixstatic.com/video/b5f93e_3e1f5d3da70e4834a436003abcde2b82/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_11
2026-03-26 21:57:10,Salud,HOLOBIOMAGNETISMO 2021,11,https://video.wixstatic.com/video/b5f93e_62456c1dd21b4f858ff5222c62072c63/1080p/mp4/file.mp4,"error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}",salud__holobiomagnetismo_2021__modulo_11
2026-03-26 22:13:40,Salud,HOLOBIOMAGNETISMO 2021,11,https://video.wixstatic.com/video/b5f93e_62456c1dd21b4f858ff5222c62072c63/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_11
2026-03-26 22:49:50,Salud,HOLOBIOMAGNETISMO 2021,12,https://video.wixstatic.com/video/b5f93e_62456c1dd21b4f858ff5222c62072c63/1080p/mp4/file.mp4,listo,salud__holobiomagnetismo_2021__modulo_12
